FEOR,Foglalkozás megnevezése,2019,2020,2021,2022,2023
7114,"Pék, édesiparitermék-gyártó",251967,273810,288285,334884,389371
7115,"Borász és egyéb szeszesital-gyártó, szikvízkészítõ",282681,302456,324620,378952,437543
7211,Szabásminta-készítõ,213645,234741,256821,295849,334235
7212,"Szabó, varró",215796,231907,249981,292725,332957
7213,"Kalapos, kesztyûs",227303,248576,277956,318411,351229
7216,"Bõrdíszmûves, bõröndös, bõrtermékkészítõ, -javító",252249,268003,293228,348758,391599
7217,"Cipész, cipõkészítõ, -javító",217012,229349,244582,295201,332168
7221,Famegmunkáló,243139,264601,287208,338141,377905
7222,Faesztergályos,239482,257199,280211,335955,388944
7223,Bútorasztalos,223824,243918,262416,308082,353652
7224,Kárpitos,282084,301170,321515,372501,412540
7225,"Kádár, bognár",289986,271124,323075,394831,467535
7231,Nyomdai elõkészítõ,277767,312781,336350,378244,434688
7232,"Nyomdász, nyomdai gépmester",353072,385856,413352,473068,542683
7233,Könyvkötõ,261296,272424,303136,358899,427614
7310,Fémöntõminta-készítõ,297204,315339,341770,400075,482407
7321,Lakatos,309388,334862,363786,421525,491143
7322,Szerszámkészítõ,462245,489170,549403,623762,752302
7323,Forgácsoló,395106,416097,469041,539495,657787
7324,"Fémcsiszoló, köszörûs, szerszámköszörûs",318705,335781,373228,441574,510443
7325,"Hegesztõ, lángvágó",309343,335135,372912,429208,501351
7326,Kovács,354610,375154,432154,477677,544643
7327,"Festékszóró, fényezõ",298853,331460,366971,426745,498297
7328,Fém- és egyéb tartószerkezet-szerelõ,297858,320946,353989,409433,480505
7331,"Gépjármû- és motorkarbantartó, -javító",303660,334829,353497,410703,479426
7332,"Repülõgépmotor-karbantartó, -javító",565181,553177,606100,760048,878437
7333,"Mezõgazdasági és ipari gép (motor) karbantartója, javítója",353603,379537,416585,484729,568098
7334,"Mechanikaigép-karbantartó, -javító (mûszerész)",398962,426118,465692,547547,656028
7335,"Kerékpár-karbantartó, -javító",220034,246294,249405,296481,358682
7341,"Villamos gépek és készülékek mûszerésze, javítója",377928,412468,447205,515900,601160
7342,"Informatikai és telekommunikációs berendezések mûszerésze, javítója",346903,373545,388618,427661,499794
7343,"Elektromoshálózat-szerelõ, -javító ",396497,437687,463876,537809,634050
7411,Címfestõ,227103,258274,270970,303994,354296
7412,"Ékszerkészítõ, ötvös, drágakõcsiszoló",217163,230008,243045,297146,342757
7413,Keramikus,267731,282242,294916,355443,422461
7414,Üveggyártó,378722,396469,431417,504316,592330
7415,Hangszerkészítõ,252402,272319,279266,332312,359195
7416,Szõr- és tollfeldolgozó,382483,358622,387616,440270,490949
7417,"Nád- és fûzfeldolgozó, seprû-, kefegyártó",122498,122477,128695,147923,173385
7418,"Textilmûves, hímzõ, csipkeverõ",162254,167548,178125,214429,250594
7419,Egyéb kézmûipari foglalkozású,201374,211759,227441,279478,332901
7420,Finommechanikai mûszerész,329453,366971,389920,458140,528888
7511,Kõmûves,223646,244328,260895,304137,353927
7512,"Gipszkartonozó, stukkózó",222313,260349,274059,310702,362538
7513,Ács,226891,252495,273549,319259,374010
7514,Épületasztalos,226165,248872,267396,314305,364761
7515,Építményszerkezet-szerelõ,286947,312994,345652,401171,482902
7519,Egyéb építõmesteri foglalkozású,243436,276501,316609,367242,432150
7521,"Vezeték- és csõhálózat-szerelõ (víz, gáz, fûtés)",283248,312981,343145,392590,458686
7522,"Szellõzõ-, hûtõ- és klimatizálóberendezés-szerelõ",289609,319925,345872,397705,461990
7523,Felvonószerelõ,369581,404340,426049,498276,580302
7524,"Épületvillamossági szerelõ, villanyszerelõ",311392,338905,368425,424346,495140
7529,"Egyéb építési, szerelési foglalkozású",264460,295117,320892,381694,441660
7531,Szigetelõ,246890,277528,306838,360949,446178
7532,Tetõfedõ,218650,229247,240638,279831,329020
7533,"Épület-, építménybádogos",249252,269116,298460,349108,412968
